time,R,G,B
0,171.105,27.743,0.0
33,171.381,27.952,0.0
66,171.685,28.216,0.0
99,171.92,28.478,0.0
132,172.092,28.661,0.0
166,172.295,28.846,0.0
199,172.449,29.066,0.0
233,172.58,29.221,0.0
266,172.734,29.379,0.0
299,172.939,29.591,0.0
333,173.094,29.782,0.0
366,173.267,29.974,0.0
399,173.435,30.157,0.0
433,173.655,30.38,0.0
466,173.886,30.633,0.0
499,174.082,30.846,0.0
532,174.284,31.076,0.0
566,174.073,31.138,0.0
599,172.027,29.821,0.0
632,169.667,27.767,0.0
666,168.846,26.639,0.0
699,169.151,26.553,0.0
732,169.653,26.819,0.0
766,169.808,26.953,0.0
799,169.649,26.845,0.0
832,169.819,26.922,0.0
866,170.247,27.235,0.0
899,170.488,27.489,0.0
932,170.473,27.562,0.0
965,170.432,27.583,0.0
999,170.468,27.616,0.0
1032,170.699,27.793,0.0
1065,170.918,28.015,0.0
1099,171.251,28.308,0.0
1132,171.539,28.61,0.0
1165,171.669,28.812,0.0
1199,171.79,28.96,0.0
1232,171.974,29.181,0.0
1265,172.062,29.366,0.0
1298,172.139,29.495,0.0
1332,172.295,29.687,0.0
1365,172.471,29.912,0.0
1398,172.642,30.096,0.0
1432,172.821,30.311,0.0
1465,173.169,30.625,0.0
1498,173.501,30.955,0.0
1532,173.212,30.962,0.0
1565,171.414,29.83,0.0
1598,169.417,28.067,0.0
1632,168.786,27.11,0.0
1665,169.367,27.207,0.0
1698,170.023,27.643,0.0
1731,170.202,27.844,0.0
1765,170.332,27.91,0.0
1798,170.635,28.144,0.0
1831,170.884,28.388,0.0
1865,170.932,28.493,0.0
1898,170.931,28.521,0.0
1931,170.894,28.509,0.0
1965,171.036,28.596,0.0
1998,171.42,28.862,0.0
2031,171.835,29.201,0.0
2065,172.187,29.553,0.0
2098,172.49,29.869,0.0
2131,172.718,30.121,0.0
2164,172.872,30.319,0.0
2198,173.043,30.515,0.0
2231,173.11,30.64,0.0
2264,173.248,30.795,0.0
2298,173.486,31.03,0.0
2331,173.747,31.302,0.0
2363,173.306,31.2,0.0
2398,171.304,29.816,0.0
2431,169.441,28.076,0.0
2464,168.9,27.275,0.0
2497,169.324,27.293,0.0
2531,169.77,27.548,0.0
2564,169.895,27.678,0.0
2597,169.956,27.724,0.0
2631,170.242,27.899,0.0
2664,170.541,28.195,0.0
2697,170.645,28.328,0.0
2731,170.588,28.318,0.0
2764,170.655,28.359,0.0
2797,170.901,28.521,0.0
2831,171.184,28.741,0.0
2863,171.538,29.07,0.0
2897,171.865,29.4,0.0
2930,172.064,29.621,0.0
2964,172.311,29.877,0.0
2997,172.464,30.061,0.0
3030,172.544,30.218,0.0
3064,172.642,30.348,0.0
3097,172.755,30.487,0.0
3130,172.883,30.648,0.0
3164,173.133,30.887,0.0
3197,173.35,31.134,0.0
3230,172.641,30.865,0.0
3264,170.449,29.238,0.0
3297,168.793,27.575,0.0
3330,168.661,27.002,0.0
3363,169.154,27.106,0.0
3397,169.499,27.299,0.0
3430,169.538,27.299,0.0
3463,169.488,27.221,0.0
3497,169.716,27.361,0.0
3530,170.063,27.635,0.0
3563,170.314,27.895,0.0
3597,170.233,27.89,0.0
3630,170.092,27.81,0.0
3663,170.327,27.942,0.0
3697,170.702,28.223,0.0
3730,170.92,28.447,0.0
3763,171.179,28.667,0.0
3796,171.557,29.01,0.0
3830,171.71,29.212,0.0
3863,171.912,29.42,0.0
3896,172.022,29.595,0.0
3930,172.033,29.665,0.0
3963,172.233,29.826,0.0
3996,172.4,30.014,0.0
4030,172.476,30.154,0.0
4063,172.638,30.31,0.0
4096,172.849,30.534,0.0
4130,173.068,30.774,0.0
4163,173.118,30.895,0.0
4196,172.53,30.718,0.0
4229,170.372,29.118,0.0
4263,168.657,27.39,0.0
4296,168.431,26.745,0.0
4329,169.015,26.939,0.0
4363,169.508,27.219,0.0
4396,169.512,27.236,0.0
4429,169.446,27.134,0.0
4463,169.788,27.348,0.0
4496,170.187,27.681,0.0
4529,170.309,27.851,0.0
4563,170.265,27.858,0.0
4596,170.347,27.914,0.0
4629,170.441,28.001,0.0
4662,170.735,28.199,0.0
4696,171.103,28.515,0.0
4729,171.274,28.741,0.0
4762,171.414,28.934,0.0
4796,171.639,29.168,0.0
4829,171.784,29.331,0.0
4862,171.873,29.478,0.0
4896,172.144,29.714,0.0
4929,172.263,29.873,0.0
4962,172.412,30.034,0.0
4995,172.599,30.241,0.0
5029,172.804,30.478,0.0
5062,172.908,30.632,0.0
5094,173.119,30.838,0.0
5129,173.395,31.125,0.0
5162,173.399,31.271,0.0
5195,172.002,30.468,0.0
5229,169.808,28.609,0.0
5262,168.81,27.335,0.0
5295,169.067,27.14,0.0
5329,169.743,27.485,0.0
5362,170.132,27.772,0.0
5395,170.122,27.784,0.0
5428,170.253,27.855,0.0
5462,170.552,28.124,0.0
5495,170.742,28.329,0.0
5528,170.773,28.394,0.0
5562,170.61,28.311,0.0
5594,170.733,28.384,0.0
5628,171.071,28.616,0.0
5662,171.314,28.871,0.0
5695,171.522,29.118,0.0
5728,171.75,29.363,0.0
5762,171.952,29.617,0.0
5795,172.019,29.768,0.0
5828,172.096,29.866,0.0
5861,172.225,30.038,0.0
5895,172.297,30.157,0.0
5928,172.362,30.24,0.0
5961,172.586,30.446,0.0
5995,172.793,30.663,0.0
6028,172.988,30.881,0.0
6061,172.765,30.911,0.0
6094,170.948,29.635,0.0
6128,169.122,27.881,0.0
6161,168.672,27.087,0.0
6195,169.168,27.18,0.0
6228,169.682,27.501,0.0
6261,169.902,27.685,0.0
6294,169.977,27.744,0.0
6328,170.2,27.925,0.0
6361,170.477,28.172,0.0
6394,170.526,28.251,0.0
6428,170.461,28.214,0.0
6461,170.553,28.235,0.0
6494,170.878,28.446,0.0
6528,171.217,28.723,0.0
6561,171.53,28.994,0.0
6594,171.8,29.274,0.0
6628,172.019,29.491,0.0
6661,172.064,29.603,0.0
6694,172.259,29.785,0.0
6727,172.48,29.98,0.0
6761,172.577,30.126,0.0
6794,172.661,30.252,0.0
6827,171.666,29.662,0.0
6861,169.786,28.018,0.0
6894,168.852,26.829,0.0
6927,168.983,26.559,0.0
6961,169.428,26.75,0.0
6994,169.612,26.857,0.0
7027,169.671,26.844,0.0
7061,169.858,26.919,0.0
7094,170.318,27.25,0.0
7127,170.523,27.468,0.0
7160,170.335,27.403,0.0
7194,170.19,27.302,0.0
7227,170.324,27.333,0.0
7260,170.444,27.415,0.0
7294,170.723,27.63,0.0
7327,171.028,27.904,0.0
7360,171.177,28.09,0.0
7394,171.29,28.227,0.0
7427,171.374,28.354,0.0
7460,171.39,28.398,0.0
7493,171.462,28.466,0.0
7527,171.509,28.533,0.0
7560,171.682,28.668,0.0
7593,171.811,28.824,0.0
7627,171.139,28.561,0.0
7660,168.946,26.939,0.0
7693,167.307,25.256,0.0
7727,166.921,24.576,0.0
7760,167.138,24.566,0.0
7793,167.337,24.632,0.0
7827,167.309,24.533,0.0
7860,167.291,24.415,0.0
7893,167.766,24.683,0.0
7927,168.367,25.165,0.0
7960,168.286,25.303,0.0
7993,168.023,25.19,0.0
8026,168.097,25.257,0.0
8060,168.259,25.378,0.0
8093,168.685,25.695,0.0
8126,169.16,26.091,0.0
8160,169.586,26.478,0.0
8193,169.969,26.82,0.0
8226,170.364,27.148,0.0
8260,170.616,27.431,0.0
8293,170.644,27.554,0.0
8325,170.752,27.71,0.0
8359,170.917,27.922,0.0
8393,171.081,28.133,0.0
8426,171.337,28.348,0.0
8459,171.895,28.808,0.0
8493,172.106,29.089,0.0
8526,172.192,29.262,0.0
8559,172.339,29.439,0.0
8593,172.461,29.62,0.0
8626,172.48,29.713,0.0
8659,172.147,29.64,0.0
8693,170.476,28.404,0.0
8726,168.558,26.432,0.0
8759,168.107,25.498,0.0
8792,168.517,25.518,0.0
8825,168.812,25.723,0.0
8859,168.941,25.826,0.0
8892,169.084,25.82,0.0
8926,169.375,25.983,0.0
8959,170.025,26.503,0.0
8992,170.487,26.929,0.0
9026,170.674,27.144,0.0
9059,170.838,27.284,0.0
9092,171.081,27.478,0.0
9126,171.368,27.722,0.0
9159,171.514,27.956,0.0
